id,Word,meaning
263,آل,"  اولاد، تبار، خاندان، دودمان، سلاله، سلسله، طایفه، عترت، قبیله، نسل ، احمر، سرخ، قرمز ، پری، جن، زائوترسان ، سراب"
264,آلات," ابزار، ادوات، اسباب، افزار، وسایل"
265,آلاچیق," سایبان، کپر، کومه"
266,آلاخون‌والاخون," آواره، بی‌خانمان، بی‌سروسامان، خانه‌بدوش، دربدر"
267,آلاله," شقایق، لاله"
268,آلامد," رایج، متداول، مد، مرسوم ، دمده"
269,آلایش,"  ذمیمه، فجور، فسق، ناپاکی ، آلودگی، آمیختگی، غل‌وغش"
270,آلبوم," کلکسیون، مجموعه"
271,آلت,"  ابزار، اسباب، افزار، دستگاه، مایه، وسیله ، اندام، عضو"
272,آلت‌دست," بازیچه، ملعبه"
273,آلغونه," روژ، سرخاب، گلگونه"
274,آلودگی,"  پلیدی، کثافت، ناپاکی ، فجور، فسق، گناه ، آغشتگی، آلوده‌شدن، درگیری ، دین، قرض، وامداری ، به‌انحطاطکشیده‌شدن، منحطشدن ، تمیزی، عصمت"
275,آلودن,"  آغشتن، آلوده‌کردن، کثیف‌کردن، ملوث‌کردن ، پالودن"
276,آلوده," پلید، جنب، چرکین، چرک‌آلود، چرک، کثیف، ملوث، ناپاک، ناشسته، نجس ، پاک، پاکدامن، تمیز، مبرا"
277,آلوده‌دامن," بدکار، بدنام، بی‌عفاف، تردامن، فاسق، گناهکار ، پاکدامن، عفیف"
278,آلونک," بیغوله، جان‌پناه، زاغه، کلبه، کومه"
279,آله,"  شاهین، عقاب ، سنبل‌الطیب"
280,آماتور," دوستدار، غیرحرفه‌ای ، حرفه‌ای"
281,آماج,"  آماجگاه، تیر، تیررس، مقصد، نشان، نشانه، هدف ، پرتاب، تیررس"
282,آماجگاه," آماج، نشانه، هدف"
283,آمادگی,"  بسیج، تدارک، تمهید، تهیه ، استعداد، توان، توانمندی، قابلیت"
284,آماده,"  آراسته، بسیجیده، پرداخته، تامین، تهیه، حاضر، روبراه، ساخته، فراهم، مجهز، مرتب، مهیا ، چالاک، سازمند، مستعد ، نامهیا"
285,آماده‌سازی," بسیجیدن، تجهیز، تعبیه، تمهید، مهیاسازی"
286,آمار,"  احصا، احصائیه، حساب، شمار ، استقصا، پی‌جویی، تتبع"
287,آماربرداری," آماردن، احصائیه، سرشماری"
288,آماردن,"  به‌شمارآوردن، شمردن، محسوب‌کردن ، اهمیت‌دادن"
289,آمارگر," شمارشگر، محاسب، محصی"
290,آمارگیری," احصائیه، سرشماری"
291,آماس," آماه، باد، برآمدگی، پف، پیله، تاول، تورم، دمل، نفخ، ورم"
292,آماه," آماس، باد، برآمدگی، پف، نفخ، ورم"
293,آمبولانس," بیمارکش، نعش‌کش"
294,آمپول, سوزن
295,آمدوشد," ایاب‌وذهاب، تردد، رفت‌وآمد، مراوده"
296,آمر," امرکننده، حاکم، فرمانده، کارفرما ، مامور"
297,آمرانه," باتحکم، تحکم‌آمیز، رئیس‌مابانه، قلدرانه"
298,آمرزش," آمرزگاری، بخشایش، بخشش، غفران، مغفرت"
299,آمرزگار," آمرزشکار، آمرزنده، بخشاینده، غفار، غفور"
300,آمرزیدگی," آمرزش، بخشایش، غفران، مغفرت"
301,آمرزیده," بخشوده، شادروان، مرحوم، مغفور"
302,آموت," آشیان، لانه"
303,آموزش," پرورش، تحصیل، تدریس، تعلم، تعلیمی، تعلیمات، درس، فراگیری، یادگیری"
304,آموزش‌وپرورش," فرهنگ، معارف"
305,آموزشگاه," دبستان، دبیرستان، مدرسه، مکتب"
306,آموزشگر," آموزشیار، آموزگار، آموزنده، مدرس، مربی، معلم ، شاگرد، متعلم"
307,آموزشی," تحصیلی، تعلیم، تعلیماتی، فراگیری، یادگیری"
308,آموزگار," اتابک، استاد، لله، مدرس، مربی، معلم، هیربد ، تلمیذ، دانش‌آموز، محصل"
309,آموزنده," آموزشگر، اتابک، استاد، لله، مدرس، مربی، معلم، هیربد ، تلمیذ، دانش‌آموز، شاگرد، طلبه، محصل"
310,آمیختگی,"  آلایش، شایبه ، اختلاط، امتزاج ، آمیزش، خلط، معاشرت"
311,آمیختن,"  آغشتن، امتزاج، مخلوطکردن، مزج ، اختلاط، موانست، معاشرت ، آرمش، خفت‌وخیز"
312,آمیخته," درهم، عجین، قاطی، مختلط، مخلوط، مرکب، معجون، ممزوج، ناسره ، سره"
313,آمیزش,"  آمیغ، مباشرت، مجامعت، مقاربت، نزدیکی ، الفت، امتزاج، انس، تردد، مجالست، مخالطت، مراوده، معاشرت ، اختلاط، تلفیق، خلط"
314,آمیزشکار," آمیزگار، خوش‌معاشرت، خوش‌منش، معاشرتی ، مردم‌گریز"
315,آمیزشی, مقاربتی
316,آمیزگار," آمیزشکار، آمیزنده، خوش‌سلوک، خوش‌معاشرت، معاشر، معاشرتی ، مردم‌گریز"
317,آمیزه,"  سرشت ، آمیخته، مخلوط، ممزوج"
318,آمیغ,"  آرمش، مباشرت، مجامعت ، آمیزش، خلط"
319,آن,"  ثانیه، حین، دم، طرفه‌العین، لحظه، لمحه، نفس، وقت ، حسن، نزاکت ، مال، متعلق"
320,آنارشی," آشوب، بلوا، بی‌قانونی، بی‌نظمی، هرج‌ومرج، هردمبیل"
321,آنتریک," تحریک، تهییج، وادار"
322,آنتیک,"  باارزش، قیمتی، نفیس ، دیرینه، عتیقه، کهنه ، بد، زشت، کریه ، نو"
323,آنفلوآنزا," چایش، ریزش، زکام، سرماخوردگی"
324,آنقدر," به‌حدی، تاآنجا، چندانکه"
325,آنگاه," آنجا، آن‌زمان، آنک، آنوقت، آن‌هنگام، بعد، پس‌ازآن، سپس، سرانجام ، اینک"
326,آنی,"  بلافاصله، دردم، فورا، فوری، فی‌الفور ، زودگذر، موقتی ، موقت ، دیرپا"
327,آوا,"  آواز، بانگ، صدا، صلا، صوت، لحن، ندا، نغمه، نوا ، آوازه، شهرت، صیت"
328,آوار,"  خرابه، دیوار، گردوخاک ، خراب، ویران ، آواره، دربدر ، چپاول، غارت ، بی‌نظمی، تباهی، هرج‌ومرج ، غبار، گردوخاک ، آزار، رنج، گزند"
329,آوارگی,"  بی‌خانمانی، خانه‌به‌دوشی، دربه‌دری ، آواری، پریشانی، سرگردانی ، تبعید، تبعیدی"
330,آواره,"  آسمان‌جل، آلاخون‌والاخون، بی‌خانمان، خانه‌بدوش، دربدر، سرگردان، ویلان ، پراکنده، پریشان، متفرق ، تبعید ، بی‌سامان، سرگردان، سرگشته"
331,آواز,"  آوا، بانگ، صدا، صلا، صوت، ندا ، آهنگ، ترانه، ترنم، چهچهه، سرود، سماع، نشید، نغمه"
332,آوازخوان," خنیاگر، خواننده، رامشگر، مغنی"
333,آوازه,"  اشتهار، شهرت، صیت، معروفیت، نام ، آواز، آوا، صوت ، اطلاع، خبر، شایعه، غوغا ، ترانه، نغمه، نوا"
334,آوخ," آوه، افسوس، دریغ، دریغا، واه، هیهات"
335,آوردگاه," رزمگاه، عرصه‌نبرد، مصاف، معرکه، میدان جنگ، نبردگاه"
336,آوردن,"  اتیان، با خود حمل کردن، رساندن ، زادن، زاییدن ، حکایت کردن، روایت کردن، نقل‌کردن ، بردن"
337,آوند," ، ظرف، کوزه ، رگ، وعاء ، قید ، برهان، حجت، دلیل"
338,آونگ," آویخته، آویز، پاندول، معلق"
339,آویختگی," آویزش، تعلیق"
340,آویختن,"  آویزان کردن، تعلیق، معلق کردن ، دارزدن، مصلوب کردن ، چنگ‌زدن، متشبث‌شدن، متوسل‌شدن ، جنگیدن ، حمایل کردن ، چسباندن، نصب کردن"
341,آویخته," آونگ، آویزان، پادرهوا، سرازیر، معلق ، نصب"
342,آویز,"  آونگ، گوشوار ، آویخته، آویزان، معلق ، آرزم، پیکار، جنگ، رزم، نبرد"
343,آویزان," آویخته، آویز، معلق"
344,آویزش,"  تشبث، تعلیق، توسل ، تعلق، دلبستگی، علاقه ، آرزم، جنگ، رزم، نبرد"
345,آویزه," گوشوار، گوشواره"
346,آه,"  آوخ، افسوس، حیف، دریغا، وای ، دم، نفس ، مویه، ناله"
347,آهار," پرداخت، جلا"
348,آهسته," آرام، بتدریج، بطی‌ء، تانی، درنگ، کند، ملایم، نرم، نرم‌نرمک، یواش ، تند، سریع"
349,آهسته‌آهسته," آرام‌آرام، بتدریج، پاورچین‌پاورچین، پاورچین، متدرجا، نرم‌نرم، نرم‌نرمک ، به‌سرعت، تندتند، سریع، سریعا"
350,آهمند,"  مختل، معیوب، ناقص ، عاصی، گناهکار، مجرم، مقصر ، بیمار، مریض، ناخوش ، سالم، صحیح"
351,آهن,"  پولاد، چدن، حدید ، زنجیر، سلاح"
352,آهن‌خشک," خنجر، روهنی، شابرقان، کارد ، نرم‌آهن"
353,آهنگ,"  اراده، خواست، داعیه، عزم، عزیمت، قصد، میل، نیت ، سرود، لحن، مقام، ملودی، نشید، نغمه، نوا ، فحوا، مفاد ، اسلوب، راه، روش، طرز"
354,آهنگر," چلنگر، حداد"
355,آهنگین," آهنگ‌دار، ریتم‌دار، موزون، نوادار"
356,آهو,"  جیران، ظبی، غزال، گوزن ، آک، عیب، وصمت ، بیماری، مرض، ناخوشی ، بد، ناپسند، نامقبول"
357,آهیختن,"  کشیدن ، برکشیدن ، برافراشتن، بلند کردن"
358,آیت,"  آیه، علامت، نشان، نشانه ، اعجوبه، نادره ، عبرت ، اعجاز، معجزه ، برهان، حجت، دلیل"
359,آیس," دلسرد، مایوس، ناامید، نومید، وازده"
360,آینده,"  آتی، آتیه، آجل، بعدی، مستقبل ، واردشونده ،  گذشته، ، رونده"
361,آینه," آبگینه، آیینه، زجاج، مرآت"
362,آیه,"  آیت ، علامت، مارک، نشان، نشانه"
363,آیین,"  رسم، روال، روش، شیوه، عادت، منوال ، دین، شرع، شریعت، طریقت، کیش، مذهب ، طریقه، مسلک، مشرب، نحله ، سنت، قاعده، قانون، مراسم، مقررات، نظم، هنجار ، آذین‌بندی، جشن، زیب، زینت، شهرآرایی ، آداب‌دانی، اتیکت، ادب، تشریفات، نزاکت ، سر"
364,آیین‌نامه," اساسنامه، مقررات، نظام‌نامه"
365,آیینه,"  آبگینه، آبگین، آینه، مرآت ، آیین، روال، روش، طریق، منوال"
366,ائتلاف," اتحاد، اتفاق، پیوستگی، موافقت، همبستگی ، اختلاف، پراکندگی"
367,اب," ابو، باب، بابا، پدر، والد ، ابن، ام"
368,ابا,"  امتناع، انکار، حاشا ، احتراز، خودداری ، سرپیچی، سرکشی، نافرمانی ، تکبر، نخوت"
369,ابابیل," پرستو، چلچله"
370,اباحت," جایز شمردن، جواز، حلال کردن، روایی، مباح دانستن ، تحریم"
371,اباطیل," اراجیف، اکاذیب، بیهوده‌ها، ترهات، مزخرفات، موهومات"
372,ابتدا," آغاز، اوان، اوایل، اول، بدو، شروع، عنفوان، مطلع، نخست ، انتها"
373,ابتدایی," آغازین، اولی، بدوی، مقدماتی، نخستین ، انتهایی"
374,ابتذال," بی‌ارزشی، بی‌قدری، پستی، پیش‌پاافتادگی"
375,ابتر,"  بلاعقب، بلاعقبه، بی‌اولاد، مقطوع‌النسل ، ناتمام، ناقص ، دم‌بریده"
